cve,severity,cvss_base,in_kev,agent,packages,version,cvss_vector,description,asset_criticality,priority_tier,justification
CVE-2026-48800,High,7.8,no,windows-endpoint,Notepad++ (32-bit x86),7.8.9,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"Notepad++ is a free and open-source source code editor. Prior to 8.9.6.1, the <Command> tag text content inside <UserDefinedCommands> in shortcuts.xml is read b",,,
CVE-2026-25926,High,7.3,no,windows-endpoint,Notepad++ (32-bit x86),7.8.9,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,Notepad++ is a free and open-source source code editor. An Unsafe Search Path vulnerability (CWE-426) exists in versions prior to 8.9.2 when launching Windows E,,,
CVE-2023-40031,High,7.8,no,windows-endpoint,Notepad++ (32-bit x86),7.8.9,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Notepad++ is a free and open-source source code editor. Versions 8.5.6 and prior are vulnerable to heap buffer write overflow in `Utf8_16_Read::convert`. This i,,,
CVE-2023-6401,High,5.3,no,windows-endpoint,Notepad++ (32-bit x86),7.8.9,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,A vulnerability classified as problematic was found in NotePad++ up to 8.1. Affected by this vulnerability is an unknown functionality of the file dbghelp.exe. ,,,
CVE-2025-15556,High,7.5,YES,windows-endpoint,Notepad++ (32-bit x86),7.8.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,"Notepad++ versions prior to 8.8.9, when using the WinGUp updater, contain an update integrity verification vulnerability where downloaded update metadata and in",,,
CVE-2026-48778,High,7.8,no,windows-endpoint,Notepad++ (32-bit x86),7.8.9,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"Notepad++ is a free and open-source source code editor. Prior to 8.9.6.1, the <GUIConfig name=""commandLineInterpreter""> tag in config.xml is read by NppXml::val",,,
